"Routeid.char","Stop","state","Longitude","Latitude","st.route"
"250001",1,"FL",-87.408178,30.929516,"FL_0001"
"250002",1,"FL",-86.279799,30.3752,"FL_0002"
"250003",1,"FL",-86.480912,30.519315,"FL_0003"
"250004",1,"FL",-85.132689,30.529429,"FL_0004"
"250005",1,"FL",-85.286978,30.337249,"FL_0005"
"250006",1,"FL",-84.040998,30.594776,"FL_0006"
"250007",1,"FL",-85.900449,30.389852,"FL_0007"
"250008",1,"FL",-84.991423,30.335845,"FL_0008"
"250009",1,"FL",-85.299912,29.780912,"FL_0009"
"250010",1,"FL",-81.42742,30.01869,"FL_0010"
"250010",2,"FL",-81.93605,30.02291,"FL_0010"
"250010",3,"FL",-81.44355,30.02739,"FL_0010"
"250010",4,"FL",-81.4521,30.03294,"FL_0010"
"250010",5,"FL",-81.46185,30.02896,"FL_0010"
"250010",6,"FL",-81.47281,30.02775,"FL_0010"
"250010",7,"FL",-81.48408,30.02788,"FL_0010"
"250010",8,"FL",-81.48604,30.01812,"FL_0010"
"250010",9,"FL",-81.49616,30.02089,"FL_0010"
"250010",10,"FL",-81.50584,30.02598,"FL_0010"
"250011",1,"FL",-83.376762,29.669173,"FL_0011"
"250012",1,"FL",-82.73374,30.502623,"FL_0012"
"250013",1,"FL",-82.263029,29.546845,"FL_0013"
"250014",1,"FL",-82.23678,29.11507,"FL_0014"
"250014",2,"FL",-82.24668,29.11715,"FL_0014"
"250014",3,"FL",-82.25616,29.11925,"FL_0014"
"250014",4,"FL",-82.26458,29.11873,"FL_0014"
"250014",5,"FL",-82.27292,29.12004,"FL_0014"
"250014",6,"FL",-82.28292,29.1203,"FL_0014"
"250014",7,"FL",-82.29258,29.12023,"FL_0014"
"250014",8,"FL",-82.29684,29.12544,"FL_0014"
"250014",9,"FL",-82.30314,29.12882,"FL_0014"
"250014",10,"FL",-82.31324,29.12899,"FL_0014"
"250015",1,"FL",-84.977667,29.997984,"FL_0015"
