"state","id","Route.Stop","name","start_date_j","start_month","hour","start_time_s","start_time_c","start_time_cat","Route.Latitude","Route.Longitude","year","stop_des","wind","sky","noise","cars","moon","dir","species","min.1","min.2","min.3","min.4","min.5","min.6","TotalDetections","MaxDetections","st_id","BCR","site"
"FL","250003",4,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",0,1,2,1,2,1,7,2,"FL--250003",27,"FL--250003..4"
"FL","250003",8,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",1,0,0,1,2,2,6,2,"FL--250003",27,"FL--250003..8"
"FL","250003",4,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,2,NA,NA,NA,"CWWI",1,2,2,1,2,1,9,2,"FL--250003",27,"FL--250003..4"
"FL","250003",6,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,1,NA,NA,NA,"CWWI",1,1,1,1,1,1,6,1,"FL--250003",27,"FL--250003..6"
"FL","250003",5,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",4,3,3,1,3,2,16,4,"FL--250003",27,"FL--250003..5"
"FL","250003",7,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",3,3,1,1,3,3,14,3,"FL--250003",27,"FL--250003..7"
"FL","250003",5,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,2,NA,NA,NA,"CWWI",0,0,0,0,1,0,1,1,"FL--250003",27,"FL--250003..5"
"FL","250003",1,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,1,NA,NA,NA,"CWWI",3,3,3,3,1,1,14,3,"FL--250003",27,"FL--250003..1"
"FL","250003",3,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",1,0,1,2,2,1,7,2,"FL--250003",27,"FL--250003..3"
"FL","250003",2,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,1,NA,"1",NA,"CWWI",1,1,1,2,1,1,7,2,"FL--250003",27,"FL--250003..2"
"FL","250003",8,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,1,1,NA,NA,NA,"CWWI",2,2,2,2,2,2,12,2,"FL--250003",27,"FL--250003..8"
"FL","250003",9,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,0,1,NA,NA,NA,"CWWI",1,1,2,3,3,3,13,3,"FL--250003",27,"FL--250003..9"
"FL","250003",3,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,2,NA,NA,NA,"CWWI",2,2,2,2,2,1,11,2,"FL--250003",27,"FL--250003..3"
"FL","250003",7,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,0,NA,NA,NA,"CWWI",0,0,0,1,1,0,2,1,"FL--250003",27,"FL--250003..7"
"FL","250003",10,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,0,0,NA,NA,NA,"CWWI",3,3,1,1,1,1,10,3,"FL--250003",27,"FL--250003..10"
"FL","250003",6,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",3,3,1,1,1,1,10,3,"FL--250003",27,"FL--250003..6"
"FL","250003",2,"MOSSY HEAD",163,6,2,0.669130606358858,0.743144825477394,"night",30.51931,-86.48091,2009,"",NA,2,1,NA,NA,NA,"CWWI",2,3,3,2,2,4,16,4,"FL--250003",27,"FL--250003..2"
"FL","250003",10,"MOSSY HEAD",158,6,10,0.321439465303162,-0.946930129495106,"day",30.51931,-86.48091,2009,"",1,0,2,NA,"1",NA,"CWWI",0,0,0,1,2,2,5,2,"FL--250003",27,"FL--250003..10"
