"X","Y","ST","BCR","selected"
-72.811053226613,41.9544742722277,"CT",30,"1"
-72.3906206565038,41.7785957719554,"CT",30,"1"
-72.8564550033602,41.3161729488175,"CT",30,"0"
-73.4737791062026,41.6069480282617,"CT",30,"1"
-72.0350654858044,41.9578164883534,"CT",30,"0"
-71.8054665172409,41.5631781449379,"CT",30,"0"
-75.6055305892732,38.6944456362148,"DE",30,"0"
-75.5353133890249,38.9494014931747,"DE",30,"1"
-86.2605199945279,30.6484905621729,"FL",27,"1"
-86.7340797685176,30.645508297392,"FL",27,"1"
-84.3380661366161,30.1068584755053,"FL",27,"0"
-84.8424260460351,30.6403271039779,"FL",27,"0"
-83.157920272845,29.8442369427205,"FL",27,"0"
-82.427964683372,30.4198747668775,"FL",27,"0"
-84.8746619034569,30.3823535680676,"FL",27,"1"
-85.5062104203103,30.3446012180511,"FL",27,"1"
-84.8672405470658,30.1679347913741,"FL",27,"0"
-83.9662452966803,30.2263330179627,"FL",27,"0"
-84.1818231336519,30.6444851436057,"FL",27,"1"
-85.686365454612,30.8133959841713,"FL",27,"0"
-85.4705570177471,30.5870846333866,"FL",27,"1"
-84.3832066119046,30.4243042206713,"FL",27,"0"
-82.1570046240778,30.0140840006925,"FL",27,"0"
-85.9462589434907,30.4182909586299,"FL",27,"1"
-81.8578846437603,29.8291994845717,"FL",27,"1"
-87.1974786083414,30.6346957521071,"FL",27,"1"
-83.5020627629047,30.540832754404,"FL",27,"1"
-81.4973042697547,30.2026704456976,"FL",27,"0"
-82.6478541689081,30.2061953950275,"FL",27,"1"
-83.3235987175242,29.6298214488962,"FL",27,"0"
-86.9026120796184,30.983816074216,"FL",27,"1"
-84.9567941874677,29.9335905347727,"FL",27,"0"
-81.5097089466373,30.430798124819,"FL",27,"1"
-82.7392069478191,29.9933538236962,"FL",27,"0"
-81.984292651561,30.3653481211756,"FL",27,"0"
-85.2583655328315,30.9143011690631,"FL",27,"1"
-81.3359628402214,28.4986924408814,"FL",31,"0"
-81.7472926824889,27.1922585202626,"FL",31,"0"
-80.3965839750855,27.6014690618479,"FL",31,"0"
-80.7927978025938,26.2417559461402,"FL",31,"0"
-81.170067016573,29.5133283587726,"FL",31,"0"
-80.2555558993637,27.0183508422005,"FL",31,"1"
-80.879275613072,28.667866078855,"FL",31,"1"
-80.5905945708369,26.5742351847285,"FL",31,"0"
-81.9368093459168,28.6316546573165,"FL",31,"1"
-81.780836297652,29.6359059878129,"FL",31,"0"
-80.223287466265,26.7421341706355,"FL",31,"1"
-80.7994863213639,25.251809040935,"FL",31,"0"
-81.7187655876593,27.4850305026808,"FL",31,"1"
-80.5460822877825,27.3352209518198,"FL",31,"0"
-82.1475237817806,27.0094870469491,"FL",31,"0"
-81.4810957270065,28.8534960198504,"FL",31,"0"
-80.6621734032435,25.5266283815384,"FL",31,"0"
-80.2109795237286,26.4574774171073,"FL",31,"1"
-82.5039215406107,28.1930338235532,"FL",31,"1"
-81.8139051574196,26.2734439370495,"FL",31,"1"
-82.8075086969462,29.3607498692949,"FL",31,"0"
-81.9101529019139,29.2503000047011,"FL",31,"0"
-80.9679565712546,27.7363636558575,"FL",31,"1"
-81.2094719319622,25.7624083696694,"FL",31,"0"
-82.5055598137356,28.5994072486602,"FL",31,"1"
-81.5103906461434,29.1278193025554,"FL",31,"1"
-82.7746262060021,27.9729573987501,"FL",31,"0"
-81.0499355202254,26.4676075204945,"FL",31,"0"
-80.5767055418988,25.954554007945,"FL",31,"0"
-81.3484928609097,29.8337863723205,"FL",31,"1"
-82.073494421433,28.321878656335,"FL",31,"0"
-81.6080733671649,28.139997253787,"FL",31,"0"
-82.5245532529947,27.3332012321828,"FL",31,"0"
-82.1477577598699,27.8529905251524,"FL",31,"1"
-82.029384863413,28.8760301741516,"FL",31,"1"
-82.5856764644829,29.6540581765506,"FL",31,"1"
-80.2938269990998,26.1445147302376,"FL",31,"0"
-81.0509666749269,28.8791059779454,"FL",31,"0"
-81.0125071158917,26.9351819333595,"FL",31,"1"
-80.7493599858715,28.116311153238,"FL",31,"1"
