"ST","BCR","selected","num.random.need","num.random.routes","num.remaining"
"CT",30,0,3,3,0
"CT",30,1,3,3,0
"DE",30,0,1,1,0
"DE",30,1,1,1,0
"FL",27,0,14,14,0
"FL",27,1,14,12,2
"FL",31,0,25,23,2
"FL",31,1,25,21,4
"GA",27,0,25,22,3
"GA",27,1,25,24,1
"GA",28,0,4,3,1
"GA",28,1,4,4,0
"GA",29,0,11,11,0
"GA",29,1,11,10,1
"MA",14,0,2,2,0
"MA",14,1,2,2,0
"MA",30,0,4,4,0
"MA",30,1,4,4,0
"MD",28,0,1,1,0
"MD",28,1,1,1,0
"MD",29,0,2,2,0
"MD",29,1,2,2,0
"MD",30,0,4,4,0
"MD",30,1,4,4,0
"ME",14,0,22,20,2
"ME",14,1,22,21,1
"ME",30,0,1,1,0
"ME",30,1,1,1,0
"NC",27,0,16,16,0
"NC",27,1,16,15,1
"NC",28,0,6,6,0
"NC",28,1,6,6,0
"NC",29,0,12,10,2
"NC",29,1,12,10,2
"NH",14,0,5,5,0
"NH",14,1,5,5,0
"NH",30,0,1,1,0
"NH",30,1,1,1,0
"NJ",28,0,1,1,0
"NJ",28,1,1,1,0
"NJ",29,0,1,1,0
"NJ",29,1,1,1,0
"NJ",30,0,3,2,1
"NJ",30,1,3,3,0
"NY",13,0,14,11,3
"NY",13,1,14,12,2
"NY",14,0,8,6,2
"NY",14,1,8,7,1
"NY",28,0,10,8,2
"NY",28,1,10,8,2
"NY",30,0,1,1,0
"NY",30,1,1,1,0
"PA",13,0,2,1,1
"PA",13,1,2,2,0
"PA",28,0,26,22,4
"PA",28,1,26,23,3
"PA",29,0,3,3,0
"PA",29,1,3,3,0
"RI",30,0,1,1,0
"RI",30,1,1,1,0
"SC",27,0,14,13,1
"SC",27,1,14,13,1
"SC",29,0,7,5,2
"SC",29,1,7,7,0
"VA",27,0,2,2,0
"VA",27,1,2,2,0
"VA",28,0,10,8,2
"VA",28,1,10,10,0
"VA",29,0,11,9,2
"VA",29,1,11,10,1
"VA",30,0,4,3,1
"VA",30,1,4,3,1
"VT",13,0,1,1,0
"VT",13,1,1,1,0
"VT",14,0,5,5,0
"VT",14,1,5,5,0
"WV",28,0,16,15,1
"WV",28,1,16,16,0
