"ST","BCR","selected","num.random.need","num.random.routes","num.remaining"
"CT",30,0,3,2,1
"CT",30,1,3,2,1
"DE",30,0,1,1,0
"DE",30,1,1,0,1
"FL",27,0,14,7,7
"FL",27,1,14,9,5
"FL",31,0,25,11,14
"FL",31,1,25,15,10
"GA",27,0,25,9,16
"GA",27,1,25,8,17
"GA",28,0,4,2,2
"GA",28,1,4,3,1
"GA",29,0,11,5,6
"GA",29,1,11,4,7
"MA",14,0,2,0,2
"MA",14,1,2,0,2
"MA",30,0,4,0,4
"MA",30,1,4,1,3
"MD",28,0,1,1,0
"MD",28,1,1,1,0
"MD",29,0,2,2,0
"MD",29,1,2,2,0
"MD",30,0,4,4,0
"MD",30,1,4,2,2
"ME",14,0,22,13,9
"ME",14,1,22,11,11
"ME",30,0,1,1,0
"ME",30,1,1,1,0
"NC",27,0,16,7,9
"NC",27,1,16,6,10
"NC",28,0,6,3,3
"NC",28,1,6,4,2
"NC",29,0,12,5,7
"NC",29,1,12,9,3
"NH",14,0,5,2,3
"NH",14,1,5,2,3
"NH",30,0,1,1,0
"NH",30,1,1,1,0
"NJ",28,0,1,0,1
"NJ",28,1,1,0,1
"NJ",29,0,1,0,1
"NJ",29,1,1,0,1
"NJ",30,0,3,0,3
"NJ",30,1,3,0,3
"NY",13,0,14,4,10
"NY",13,1,14,5,9
"NY",14,0,8,5,3
"NY",14,1,8,2,6
"NY",28,0,10,2,8
"NY",28,1,10,0,10
"NY",30,0,1,1,0
"NY",30,1,1,0,1
"PA",13,0,2,0,2
"PA",13,1,2,0,2
"PA",28,0,26,17,9
"PA",28,1,26,14,12
"PA",29,0,3,3,0
"PA",29,1,3,3,0
"RI",30,0,1,1,0
"RI",30,1,1,0,1
"SC",27,0,14,4,10
"SC",27,1,14,4,10
"SC",29,0,7,1,6
"SC",29,1,7,3,4
"VA",27,0,2,1,1
"VA",27,1,2,2,0
"VA",28,0,10,4,6
"VA",28,1,10,7,3
"VA",29,0,11,5,6
"VA",29,1,11,8,3
"VA",30,0,4,2,2
"VA",30,1,4,3,1
"VT",13,0,1,1,0
"VT",13,1,1,1,0
"VT",14,0,5,4,1
"VT",14,1,5,2,3
"WV",28,0,16,8,8
"WV",28,1,16,9,7
