"route_id.char","state","BCR","BCRNAME"
"OW18","CT","14","ATLANTIC NORTHERN FOREST"
"NB20","CT","14","ATLANTIC NORTHERN FOREST"
"OW91","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"NB86","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"OW67","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"NB35","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"NB65","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"NB103104","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"NB25","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"WH85","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"WH28","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"WH82","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"NB89","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"WH64","CT","30","NEW ENGLAND/MID-ATLANTIC COAST"
"Milford Neck","DE","30","NEW ENGLAND/MID-ATLANTIC COAST"
"250022","FL","31","PENINSULAR FLORIDA"
"250031","FL","31","PENINSULAR FLORIDA"
"250068","FL","31","PENINSULAR FLORIDA"
"250018","FL","31","PENINSULAR FLORIDA"
"250017","FL","31","PENINSULAR FLORIDA"
"250036","FL","31","PENINSULAR FLORIDA"
"250072","FL","31","PENINSULAR FLORIDA"
"250073","FL","31","PENINSULAR FLORIDA"
"250016","FL","31","PENINSULAR FLORIDA"
"250030","FL","31","PENINSULAR FLORIDA"
"250067","FL","31","PENINSULAR FLORIDA"
"250081","FL","31","PENINSULAR FLORIDA"
"250082","FL","31","PENINSULAR FLORIDA"
"250029","FL","31","PENINSULAR FLORIDA"
"250033","FL","31","PENINSULAR FLORIDA"
"250085","FL","31","PENINSULAR FLORIDA"
"250086","FL","31","PENINSULAR FLORIDA"
"250070","FL","31","PENINSULAR FLORIDA"
"250025","FL","31","PENINSULAR FLORIDA"
"250026","FL","31","PENINSULAR FLORIDA"
"250077","FL","31","PENINSULAR FLORIDA"
"250065","FL","31","PENINSULAR FLORIDA"
"250116","FL","31","PENINSULAR FLORIDA"
"250080","FL","31","PENINSULAR FLORIDA"
"250132","FL","31","PENINSULAR FLORIDA"
"250135","FL","31","PENINSULAR FLORIDA"
"250032","FL","31","PENINSULAR FLORIDA"
"250165","FL","31","PENINSULAR FLORIDA"
"250172","FL","31","PENINSULAR FLORIDA"
"250175","FL","31","PENINSULAR FLORIDA"
"250074","FL","31","PENINSULAR FLORIDA"
"250024","FL","31","PENINSULAR FLORIDA"
"250076","FL","31","PENINSULAR FLORIDA"
"250063","FL","31","PENINSULAR FLORIDA"
"250064","FL","31","PENINSULAR FLORIDA"
"250903","FL","31","PENINSULAR FLORIDA"
"250066","FL","31","PENINSULAR FLORIDA"
"250905","FL","31","PENINSULAR FLORIDA"
"250906","FL","31","PENINSULAR FLORIDA"
"250069","FL","31","PENINSULAR FLORIDA"
"250910","FL","31","PENINSULAR FLORIDA"
"250020","FL","31","PENINSULAR FLORIDA"
"250912","FL","31","PENINSULAR FLORIDA"
"250915","FL","31","PENINSULAR FLORIDA"
"250916","FL","31","PENINSULAR FLORIDA"
"250039","FL","31","PENINSULAR FLORIDA"
"250918","FL","31","PENINSULAR FLORIDA"
"250919","FL","31","PENINSULAR FLORIDA"
"250027","FL","31","PENINSULAR FLORIDA"
"250028","FL","31","PENINSULAR FLORIDA"
"250922","FL","31","PENINSULAR FLORIDA"
"251234","FL","31","PENINSULAR FLORIDA"
"252625","FL","31","PENINSULAR FLORIDA"
"252630","FL","31","PENINSULAR FLORIDA"
"252930","FL","31","PENINSULAR FLORIDA"
"253371","FL","31","PENINSULAR FLORIDA"
"253411","FL","31","PENINSULAR FLORIDA"
"250087","FL","31","PENINSULAR FLORIDA"
"250075","FL","31","PENINSULAR FLORIDA"
"257949","FL","31","PENINSULAR FLORIDA"
"250040","FL","31","PENINSULAR FLORIDA"
"250113","FL","31","PENINSULAR FLORIDA"
"259259","FL","31","PENINSULAR FLORIDA"
"250129","FL","31","PENINSULAR FLORIDA"
"259270","FL","31","PENINSULAR FLORIDA"
"259273","FL","31","PENINSULAR FLORIDA"
"259290","FL","31","PENINSULAR FLORIDA"
"259297","FL","31","PENINSULAR FLORIDA"
"259300","FL","31","PENINSULAR FLORIDA"
"259301","FL","31","PENINSULAR FLORIDA"
"250178","FL","31","PENINSULAR FLORIDA"
"250010","FL","31","PENINSULAR FLORIDA"
