"ST","BCR","BCRNAME","PROVINCE_S","AreaSqMi","prop_area","nsn1k.area","nsn2k.area","nsn3k.area","numcurrentroutes","numyears","meansurveysperyear","CountryNum","StateNum","meanBCR.ST","nsn1k.bbsdens","nsn2k.bbsdens","nsn3k.bbsdens","nsn2k.area.routes","nsn2k.bbsdens.routes","nsn3k.area.routes"
"CT",14,"ATLANTIC NORTHERN FOREST","CONNECTICUT",416.178260492497,0.000945243853825376,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0
"CT",30,"NEW ENGLAND/MID-ATLANTIC COAST","CONNECTICUT",4535.86288885743,0.0103020674660261,10,21,31,0,0,0,840,18,0.025,18,36,53,2,4,3
"DE",29,"PIEDMONT","DELAWARE",85.1137952683712,0.00019331449883512,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DE",30,"NEW ENGLAND/MID-ATLANTIC COAST","DELAWARE",1895.61259942954,0.00430540546909951,4,9,13,1,1,10,840,21,0.035,25,50,75,1,5,1
"FL",27,"SOUTHEASTERN COASTAL PLAIN","FLORIDA",20307.958643065,0.0461244012803094,46,92,138,8,4,64,840,25,0.103392857,74,147,221,9,15,14
"FL",31,"PENINSULAR FLORIDA","FLORIDA",36991.1286713683,0.084016010306009,84,168,252,13,4,89.5,840,25,0.130355072,93,185,278,17,18,25
"FL",NA,"","0",0,0,0,0,0,7,4,40.25,0,0,0,0,0,0,NA,NA,NA
"GA",27,"SOUTHEASTERN COASTAL PLAIN","GEORGIA",36171.4465544018,0.0821543093074121,82,164,246,0,0,0,840,27,0.066066667,47,94,141,16,9,25
"GA",28,"APPALACHIAN MOUNTAINS","GEORGIA",6410.55369723894,0.0145599543685004,15,29,44,0,0,0,840,27,0.030857143,22,44,66,3,4,4
"GA",29,"PIEDMONT","GEORGIA",16445.2751872563,0.0373512909512034,37,75,112,4,2,23,840,27,0.033088889,24,47,71,8,5,11
"GA",NA,"","0",0,0,0,0,0,8,4,50.75,0,0,0,0,0,0,NA,NA,NA
"MA",14,"ATLANTIC NORTHERN FOREST","MASSACHUSETTS",2195.90385810428,0.00498744125415921,5,10,15,7,4,32.5,0,0,0,0,0,0,1,0,2
"MA",30,"NEW ENGLAND/MID-ATLANTIC COAST","MASSACHUSETTS",5914.08518055447,0.0134323514671416,13,27,40,34,4,202,840,47,0.02,14,28,43,3,3,4
"MA",NA,"","0",0,0,0,0,0,1,2,1,0,0,0,0,0,0,NA,NA,NA
"MD",28,"APPALACHIAN MOUNTAINS","MARYLAND",1670.14804098118,0.00379331964348103,4,8,11,4,4,17.5,840,46,0.04325,31,62,92,1,6,1
"MD",29,"PIEDMONT","MARYLAND",2672.18089329879,0.00606918430268612,6,12,18,0,0,0,0,0,0,0,0,0,1,0,2
"MD",30,"NEW ENGLAND/MID-ATLANTIC COAST","MARYLAND",5661.328515784,0.0128582785119494,13,26,39,3,2,15,840,46,0.041866667,30,60,89,3,6,4
"ME",14,"ATLANTIC NORTHERN FOREST","MAINE",31709.8790605751,0.0720209850752042,72,144,216,72,5,1157,840,44,0.028888889,21,41,62,14,4,22
"ME",30,"NEW ENGLAND/MID-ATLANTIC COAST","MAINE",821.05677504309,0.00186482318738308,2,4,6,6,5,120,0,0,0,0,0,0,0,0,1
"NC",27,"SOUTHEASTERN COASTAL PLAIN","NORTH CAROLINA",23664.0360393407,0.0537468838387157,54,107,161,3,3,17,840,63,0.077424242,55,110,165,11,11,16
"NC",28,"APPALACHIAN MOUNTAINS","NORTH CAROLINA",8168.81175236988,0.0185533936656053,19,37,56,5,3,20,840,63,0.052,37,74,111,4,7,6
"NC",29,"PIEDMONT","NORTH CAROLINA",17790.5854622202,0.0404068236150021,40,81,121,3,4,26,840,63,0.037481481,27,53,80,8,5,12
"NC",NA,"","0",0,0,0,0,0,41,4,268,0,0,0,0,0,0,NA,NA,NA
"NH",14,"ATLANTIC NORTHERN FOREST","NEW HAMPSHIRE",7671.36156415848,0.0174235611451977,17,35,52,13,4,135,840,58,0.02,14,28,43,4,3,5
"NH",30,"NEW ENGLAND/MID-ATLANTIC COAST","NEW HAMPSHIRE",1598.38702536994,0.00363033261270598,4,7,11,5,4,44,840,58,0.055,39,78,117,1,8,1
"NH",NA,"","0",0,0,0,0,0,2,2,10,0,0,0,0,0,0,NA,NA,NA
"NJ",28,"APPALACHIAN MOUNTAINS","NEW JERSEY",1514.42204761295,0.00343962736282712,3,7,10,0,0,0,840,59,0.02,14,28,43,1,3,1
"NJ",29,"PIEDMONT","NEW JERSEY",1448.28414059457,0.00328941180365779,3,7,10,0,0,0,0,0,0,0,0,0,1,0,1
"NJ",30,"NEW ENGLAND/MID-ATLANTIC COAST","NEW JERSEY",4672.57132800918,0.01061256617329,11,21,32,0,0,0,840,59,0.06,43,85,128,2,8,3
"NY",13,"LOWER GREAT LAKES/ ST. LAWRENCE PLAIN","NEW YORK",20684.3323024478,0.046979239031451,47,94,141,8,3,96.33,840,61,0.02,14,28,43,9,3,14
"NY",14,"ATLANTIC NORTHERN FOREST","NEW YORK",11206.316996824,0.0254523200052102,25,51,76,7,3,37.67,840,61,0.033333333,24,47,71,5,5,8
"NY",28,"APPALACHIAN MOUNTAINS","NEW YORK",14575.5428316066,0.0331046659223399,33,66,99,4,2,25,840,61,0.04,28,57,85,7,6,10
"NY",29,"PIEDMONT","NEW YORK",61.3225232566352,0.000139278630606038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NY",30,"NEW ENGLAND/MID-ATLANTIC COAST","NEW YORK",2013.5666313076,0.00457330827482202,5,9,14,3,2,18.5,0,0,0,0,0,0,1,0,1
"PA",13,"LOWER GREAT LAKES/ ST. LAWRENCE PLAIN","PENNSYLVANIA",3177.26770323229,0.00721636148145787,7,14,22,0,0,0,0,0,0,0,0,0,1,0,2
"PA",28,"APPALACHIAN MOUNTAINS","PENNSYLVANIA",37397.7866648908,0.084939631276819,85,170,255,9,4,52.5,840,72,0.037098039,26,53,79,17,5,26
"PA",29,"PIEDMONT","PENNSYLVANIA",4645.87733429006,0.0105519375054994,11,21,32,2,4,12.5,0,0,0,0,0,0,2,0,3
"PA",30,"NEW ENGLAND/MID-ATLANTIC COAST","PENNSYLVANIA",141.788869157796,0.000322037621459742,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"PA",NA,"","0",0,0,0,0,0,11,4,62.75,0,0,0,0,0,0,NA,NA,NA
"RI",30,"NEW ENGLAND/MID-ATLANTIC COAST","RHODE ISLAND",1075.04135799615,0.00244168504873712,2,5,7,0,0,0,840,77,0.04,28,57,85,0,6,1
"SC",27,"SOUTHEASTERN COASTAL PLAIN","SOUTH CAROLINA",19814.7346407499,0.0450041674742578,45,90,135,1,4,22.5,840,80,0.067377778,48,96,144,9,10,14
"SC",28,"APPALACHIAN MOUNTAINS","SOUTH CAROLINA",693.361523313811,0.00157479565995542,2,3,5,1,4,15,840,80,0.04,28,57,85,0,6,0
