"","state","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","NA"
"1","FL",145,266,290,357,276,237,504,242,264,214,185,182,201,194,195,185,0,128
"2","GA",136,110,35,104,101,85,171,61,49,83,121,32,99,33,64,53,0,123
"3","NC",285,595,341,429,443,545,430,365,392,337,436,323,400,197,347,343,0,279
"4","SC",25,15,80,35,70,84,98,69,45,60,55,49,70,118,150,198,0,57
"5","VA",115,228,133,150,150,188,305,270,217,224,142,131,117,262,192,107,10,256
"6","MD",0,51,72,82,40,61,50,71,141,80,20,30,30,30,20,20,0,57
"7","PA",0,0,70,180,120,80,160,90,60,70,50,90,81,120,160,150,0,216
"8","CT",0,0,0,159,122,145,109,123,0,0,0,0,0,0,0,0,0,0
"9","WV",0,0,0,20,0,60,20,0,0,20,20,20,20,20,30,10,0,58
"10","NH",0,0,0,0,0,174,145,160,133,182,179,206,180,175,180,201,0,14
"11","MA",0,0,0,0,0,0,225,286,261,320,412,342,241,181,220,298,0,1
"12","ME",0,0,0,0,0,0,21,30,0,0,0,528,1415,1404,1456,1323,787,5
"13","NY",0,0,0,0,0,0,141,237,275,257,244,243,93,156,240,0,0,36
"14","DE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1
"15","VT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302
