"ST","BCR","selected","num.exist","num.need","num.total"
"CT",30,0,3,0,3
"CT",30,1,3,0,3
"DE",30,0,0,1,1
"DE",30,1,1,0,1
"FL",27,0,11,3,14
"FL",27,1,11,3,14
"FL",31,0,18,7,25
"FL",31,1,17,8,25
"GA",27,0,16,9,25
"GA",27,1,16,9,25
"GA",28,0,3,1,4
"GA",28,1,4,0,4
"GA",29,0,6,5,11
"GA",29,1,6,5,11
"MA",14,0,2,0,2
"MA",14,1,1,1,2
"MA",30,0,4,0,4
"MA",30,1,4,0,4
"MD",28,0,1,0,1
"MD",28,1,1,0,1
"MD",29,0,1,1,2
"MD",29,1,2,0,2
"MD",30,0,4,0,4
"MD",30,1,4,0,4
"ME",14,0,16,6,22
"ME",14,1,14,8,22
"ME",30,0,1,0,1
"ME",30,1,1,0,1
"NC",27,0,12,4,16
"NC",27,1,11,5,16
"NC",28,0,5,1,6
"NC",28,1,4,2,6
"NC",29,0,9,3,12
"NC",29,1,10,2,12
"NH",14,0,5,0,5
"NH",14,1,3,2,5
"NH",30,0,1,0,1
"NH",30,1,0,1,1
"NJ",28,0,0,1,1
"NJ",28,1,0,1,1
"NJ",29,0,0,1,1
"NJ",29,1,0,1,1
"NJ",30,0,0,3,3
"NJ",30,1,0,3,3
"NY",13,0,5,9,14
"NY",13,1,5,9,14
"NY",14,0,6,2,8
"NY",14,1,2,6,8
"NY",28,0,2,8,10
"NY",28,1,1,9,10
"NY",30,0,1,0,1
"NY",30,1,0,1,1
"PA",13,0,1,1,2
"PA",13,1,2,0,2
"PA",28,0,21,5,26
"PA",28,1,20,6,26
"PA",29,0,3,0,3
"PA",29,1,3,0,3
"RI",30,0,0,1,1
"RI",30,1,0,1,1
"SC",27,0,11,3,14
"SC",27,1,9,5,14
"SC",29,0,5,2,7
"SC",29,1,5,2,7
"VA",27,0,2,0,2
"VA",27,1,2,0,2
"VA",28,0,8,2,10
"VA",28,1,10,0,10
"VA",29,0,6,5,11
"VA",29,1,8,3,11
"VA",30,0,3,1,4
"VA",30,1,3,1,4
"VT",13,0,1,0,1
"VT",13,1,1,0,1
"VT",14,0,5,0,5
"VT",14,1,4,1,5
"WV",28,0,14,2,16
"WV",28,1,14,2,16
