"PointID","Y","X","Latitude","Longitude","CommonName","MaxCount","MinCount","MeanCount","SumCount","Occurence","YearsCovered","TotalYears","SurveyReps","SurveySeason","ProjectName","RouteName","PropertyName","AtlasBlock","Town","file","year"
"NB35-09",838763,956903,41.76295,72.907967,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35F","Burlington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-10",850583,949921,41.795349,72.93365,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35D","Burlington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-08",836251,948224,41.756008,72.939758,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35","Nassahegon State Forest","35E","Burlington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-07",835076,942762,41.752749,72.959766,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35","Nassahegon State Forest","35E","Burlington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-06",843740,941642,41.776518,72.963949,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35E","Burlington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-04",861181,939741,41.824367,72.971082,"Whip-poor-will","1","0",0.5,1,0.5,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35","Nepaug State Forest","35C","New Hartford","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-03",869920,935408,41.848317,72.987067,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35A","New Hartford","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-02",874449,936172,41.860752,72.984308,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35A","New Hartford","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-01",874774,947108,41.861718,72.944165,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35A","Canton","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB35-05",852389,936432,41.800216,72.983135,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","NB35",NA,"35C","Burlington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"WH82-02",734892,1033687,41.477933,72.627066,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","WH82","Millers Pond State Park Scenic Reserve","82B","Haddam","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"WH82-09",725651,1018540,41.452617,72.682368,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","WH82",NA,"82D","Durham","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"WH82-07",710977,1033721,41.412299,72.627066,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","WH82",NA,"82F","Killingworth","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"WH82-08",709759,1030952,41.408967,72.637167,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","WH82",NA,"82F","Madison","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"WH82-10",709403,1014694,41.408033,72.696435,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,2,"Breeding Season","DEEP- Summer Night Bird Surveys","WH82",NA,"82E","Guilford","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB10406",697078,1241298,41.370851,71.870866,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,1,"Breeding Season","DEEP- Summer Night Bird Surveys","NB103104",NA,"104A","Stonington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB10407",687159,1239362,41.343683,71.878283,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,1,"Breeding Season","DEEP- Summer Night Bird Surveys","NB103104","Barn Island Wildlife Area","103B","Stonington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB10410",690038,1250540,41.351268,71.837467,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,1,"Breeding Season","DEEP- Summer Night Bird Surveys","NB103104","Pawcatuck River Wildlife Area","104A","Stonington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB10408",690846,1245347,41.353634,71.85635,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,1,"Breeding Season","DEEP- Summer Night Bird Surveys","NB103104","Barn Island Wildlife Area","104A","Stonington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
"NB10304",692287,1232227,41.357951,71.904083,"Whip-poor-will","0","0",0,0,0,"2010 to 2010",1,1,"Breeding Season","DEEP- Summer Night Bird Surveys","NB103104",NA,"103B","Stonington","../Data_raw/CT Whippoorwill Data/WPWL2010.xls","2010"
