"ProjectName","RouteName","PointID","Interval1","Interval2","Interval3","Interval4","Interval5","Interval6","Interval7","Interval8","Interval9","Interval10","file","year"
"DEEP- Summer Night Bird Surveys","NB103104","NB10301","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10302","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10303","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10304","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10305","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10406","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10407","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10408","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10409","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB103104","NB10410","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB20","NB20-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-02","0","0","0","0","1","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-07","0","0","1","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-07","0","0","0","0","0","0","1","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB25","NB25-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-01","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-04","1","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-09","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB35","NB35-10","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-01","2","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-01","0","0","0","0","1","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-02","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-02","1","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-03","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-04","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-05","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-05","0","1","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-05","0","0","1","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-06","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-06","0","0","0","0","1","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-07","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
"DEEP- Summer Night Bird Surveys","NB65","NB65-08","0","0","0","0","0","0","0","0","0","0","../Data_raw/CT Whippoorwill Data/WPWL2010.xls",2010
