year,state,route,stop_des,stop,wind,sky,noise,cars,moon,dir,species,min 1,min 2,min 3,min 4,min 5,min 6
2012,NH,NH02,,1,0,0,1,2,,,NA,0,0,0,0,0,0
2012,NH,NH02,,2,1,0,1,2,,,NA,0,0,0,0,0,0
2012,NH,NH02,,3,0,0,0,2,,,NA,0,0,0,0,0,0
2012,NH,NH02,,4,0,0,1,1,,,NA,0,0,0,0,0,0
2012,NH,NH02,,5,1,0,1,0,,,WHWP,0,1,1,0,0,0
2012,NH,NH02,,6,0,0,1,0,,,NA,0,0,0,0,0,0
2012,NH,NH02,,7,1,0,1,0,,,NA,0,0,0,0,0,0
2012,NH,NH02,,8,1,0,1,3,,,NA,0,0,0,0,0,0
2012,NH,NH02,,9,1,0,1,1,,,NA,0,0,0,0,0,0
2012,NH,NH02,,10,,,,,,,NA,0,0,0,0,0,0
2012,NH,NH03,,1,1,0,2,10,,,NA,0,0,0,0,0,0
2012,NH,NH03,,2,0,0,1,2,,,NA,0,0,0,0,0,0
2012,NH,NH03,,3,0,0,1,0,,,WHWP,0,0,0,1,1,0
2012,NH,NH03,,4,0,0,1,2,,,WHWP,0,1,1,1,1,1
2012,NH,NH03,,5,0,0,2,8,,,WHWP,0,0,1,0,0,1
2012,NH,NH03,,6,1,0,1,4,,,WHWP,0,1,1,1,1,1
2012,NH,NH03,,7,1,0,2,8,,,WHWP,0,1,1,1,1,1
2012,NH,NH03,,8,0,0,1,3,,,NA,0,0,0,0,0,0
2012,NH,NH03,,9,1,0,0,0,,,NA,0,0,0,0,0,0
2012,NH,NH03,,10,2,0,0,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,1,0,2,1,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,2,1,2,1,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,3,1,2,1,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,4,0,1,0,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,5,0,1,0,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,6,1,0,0,0,,,NA,0,0,0,0,0,0
2012,NH,NH04,,7,1,1,2,3,,,NA,0,0,0,0,0,0
2012,NH,NH04,,8,1,2,1,1,,,NA,0,0,0,0,0,0
2012,NH,NH04,,9,1,2,2,4,,,NA,0,0,0,0,0,0
2012,NH,NH04,,10,0,2,1,2,,,NA,0,0,0,0,0,0
2012,NH,NH06,,1,1,0,1,2,,,NA,0,0,0,0,0,0
