id,name,state,created_at,updated_at,Route.Stop,Route.Latitude,Route.Longitude
3,LOSP1,NY,4/22/13 14:58,4/22/13 15:02,,,
4,LOSP1,NY,4/22/13 15:02,5/30/19 21:12,,,
5,Baring East,ME,6/28/13 17:17,4/19/19 18:27,,,
6,MHNWR-Baring West,ME,6/28/13 17:50,4/19/19 18:27,,,
7,MHNWR-Edmunds,ME,6/28/13 19:25,4/19/19 18:27,,,
8,26,ME,7/3/14 8:48,7/3/14 8:48,,,
9,26,ME,7/3/14 9:07,7/3/14 9:07,,,
10,,ME,5/16/15 10:12,5/16/15 10:12,,,
11,bird patrol,ME,5/16/15 10:14,5/16/15 10:14,,,
12,bird patrol,ME,5/16/15 10:43,5/16/15 10:43,,,
13,Middlesex County MA,MA,11/15/17 15:21,11/15/17 15:21,,,
14,Plymouth,MA,6/23/18 11:03,6/23/18 11:03,,,
15,Willow,WI,3/31/19 1:57,3/31/19 1:57,,,
16,3 Rivers Woods.,NH,6/23/19 11:09,6/23/19 11:09,,,
17,,NH,2/17/20 22:21,2/17/20 23:40,,,
18,Lyndeborough,NH,5/18/20 2:35,5/18/20 2:35,,,
19,SamR Route,DE,3/10/23 15:39,3/10/23 15:39,,,
20,PittsfordVT,VT,3/28/23 18:25,3/28/23 18:25,,,
6015,Mormon Lake,AZ,5/9/12 18:02,4/25/19 17:22,,,
6051,Toroweap,AZ,5/9/12 18:02,3/7/19 18:21,,,
6078,Redington Road,AZ,5/9/12 18:02,7/9/12 20:49,,,
6101,Navajo Trail,AZ,5/9/12 18:03,3/7/19 18:21,,,
14091,Poway,CA,5/9/12 18:03,5/9/12 18:03,,,
14121,Mt Laguna,CA,5/9/12 18:03,5/9/12 18:03,,,
14122,Cuyamaca Peak,CA,5/9/12 18:03,5/9/12 18:03,,,
14134,Junction City,CA,5/9/12 18:03,10/17/12 15:45,,,
14181,Genessee,CA,5/9/12 18:03,4/19/19 18:28,,,
14409,Burnt Ranch,CA,5/9/12 18:03,10/17/12 15:45,,,
14431,Hayfork,CA,5/9/12 18:03,10/17/12 15:45,,,
17031,Wray Gulch,CO,5/9/12 18:03,4/7/15 22:06,,,
17032,Wilson Creek,CO,5/9/12 18:03,4/7/15 22:06,,,
17224,Fox Cr,CO,5/9/12 18:03,4/25/19 18:17,,,
17358,Piceance Basin,CO,5/9/12 18:03,4/7/15 22:06,,,
20001,ST FLORIAN,AL,6/13/12 13:53,6/13/12 13:53,1,34.873317,-87.604062
20002,HILLSBORO,AL,6/13/12 13:53,6/13/12 13:53,1,34.638674,-87.19129
20004,TRADE,AL,6/13/12 13:53,6/13/12 13:53,1,34.028816,-87.060881
20005,SUMMITT,AL,6/13/12 13:53,6/13/12 13:53,1,34.201668,-86.493408
20006,VALHRMSA SPG,AL,6/13/12 13:53,4/12/21 19:42,1,34.503714,-86.681433
20007,SWAIM,AL,6/13/12 13:53,6/13/12 13:53,1,34.868075,-86.202904
20008,PINE GROVE,AL,6/13/12 13:53,6/13/12 13:53,1,34.027819,-85.711256
20009,DAWSON,AL,6/13/12 13:53,6/13/12 13:53,1,34.30395,-85.926758
20010,MILLERVILLE,AL,6/13/12 13:53,6/13/12 13:53,1,33.191204,-85.925825
20011,DEARMANVILLE,AL,6/13/12 13:53,6/13/12 13:53,1,33.625723,-85.751837
20012,SUNNY EVE,AL,6/13/12 13:53,6/13/12 13:53,1,33.607662,-85.751395
20013,GREENSPORT,AL,6/13/12 13:53,6/13/12 13:53,1,33.811697,-86.115378
20014,SMYER LAKE,AL,6/13/12 13:53,5/16/20 1:20,1,33.452076,-86.604286
20015,MT OLIVE,AL,6/13/12 13:53,6/13/12 13:53,1,33.681957,-86.871764
20016,HOWARD,AL,6/13/12 13:53,6/13/12 13:53,1,33.847827,-87.589087
20017,MAYTOWN,AL,6/13/12 13:53,6/11/20 19:42,1,33.526195,-87.004308
20019,LIBERTY,AL,6/13/12 13:53,6/13/12 13:53,1,33.476553,-88.17121
20020,RIDERWOOD,AL,6/13/12 13:53,6/13/12 13:53,1,32.130771,-88.31728
20021,LINDEN,AL,6/13/12 13:53,6/13/12 13:53,1,32.278239,-87.835952
20022,HARRELL,AL,6/13/12 13:53,6/13/12 13:53,1,32.443377,-87.216185
20023,GREENSBORO,AL,6/13/12 13:53,6/13/12 13:53,1,32.78475,-87.515853
20024,SPRAGUE,AL,6/13/12 13:53,6/13/12 13:53,1,32.13124,-86.275498
20025,BILLINGSLEY,AL,6/13/12 13:52,1/24/21 3:15,1,32.658657,-86.717308
20026,WALLSBORO,AL,6/13/12 13:53,6/13/12 13:53,1,32.583305,-86.147042
20027,WARRIOR STD,AL,6/13/12 13:53,5/6/21 17:53,1,32.311768,-85.553328
20028,LANETT,AL,6/13/12 13:53,6/13/12 13:53,1,32.885464,-85.204458
20029,COTTONTON,AL,6/13/12 13:53,5/19/14 20:02,1,32.147307,-85.062644
20030,NEWTON,AL,6/13/12 13:53,4/19/19 2:12,1,31.339062,-85.588469
20031,GRANGEBURG,AL,6/13/12 13:53,6/13/12 13:53,1,31.020344,-85.233177
20032,BRUNDIDGE,AL,6/13/12 13:52,6/13/12 13:52,1,31.71797,-85.815527
20033,BRANTLEY,AL,6/13/12 13:52,6/13/12 13:52,1,31.582255,-86.257072
20034,SOUTH,AL,6/13/12 13:53,6/13/12 13:53,1,31.44395,-86.613196
20035,MCCLELLAN,AL,6/13/12 13:53,6/13/12 13:53,1,30.99753,-86.88571
20036,BEATRICE,AL,6/13/12 13:52,6/13/12 13:52,1,31.739783,-87.20883
20037,LATHAM,AL,6/13/12 13:53,6/13/12 13:53,1,31.096976,-87.832198
20038,CASTLEBERRY,AL,6/13/12 13:53,6/13/12 13:53,1,31.318974,-87.120728
20039,MILLRY,AL,6/13/12 13:53,6/13/12 13:53,1,31.632635,-88.314992
20040,DAUPHIN ISLAND,AL,6/13/12 13:53,6/13/12 13:53,1,30.254032,-88.112546
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,1,30.280833,-87.521111
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,2,30.278056,-87.533889
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,3,30.277778,-87.539444
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,4,30.273056,-87.571389
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,5,30.269444,-87.586944
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,6,30.265556,-87.605
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,7,30.260833,-87.621667
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,8,30.256944,-87.636667
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,9,30.253056,-87.637222
20041,ALABAMA POINT,AL,5/9/12 18:01,4/19/19 18:28,10,30.254444,-87.668889
20042,FOLEY,AL,6/13/12 13:53,6/13/12 13:53,1,30.370113,-87.683347
20043,BLOCTON,AL,6/13/12 13:52,6/13/12 13:52,1,33.115604,-87.100752
20044,BIRMINGHAM,AL,6/13/12 13:52,6/13/12 13:52,1,33.590943,-86.696548
20045,WHITEHOUSE,AL,6/13/12 13:53,4/27/19 2:45,1,34.131163,-87.762145
20046,GUNTERSVILLE,AL,6/13/12 13:53,6/13/12 13:53,1,34.314238,-86.477356
20047,JENA,AL,6/13/12 13:53,6/13/12 13:53,1,33.138176,-87.82553
20048,EPES,AL,6/13/12 13:53,6/13/12 13:53,1,32.680782,-88.122928
20049,WEDGEWORTH,AL,6/13/12 13:53,6/13/12 13:53,1,32.803999,-87.76492
20050,WHITEHALL,AL,6/13/12 13:53,6/13/12 13:53,1,32.327477,-86.711952
20051,LIBERTY CITY,AL,6/13/12 13:53,6/13/12 13:53,1,32.581316,-85.715918
20052,ESCATAWPA,AL,6/13/12 13:53,6/13/12 13:53,1,31.292744,-88.385212
20053,GROVE HILL,AL,6/13/12 13:53,6/13/12 13:53,1,31.709758,-87.776716
20054,FAIRVIEW,AL,6/13/12 13:53,6/13/12 13:53,1,31.222355,-86.099272
20055,ELAMVILLE,AL,6/13/12 13:53,6/13/12 13:53,1,31.667603,-85.650871
20056,CHILDERSBURG,AL,6/13/12 13:53,6/13/12 13:53,1,33.457291,-86.257462
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,1,34.423683,-87.390717
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,2,34.40775,-87.393083
20057,YOUNGTOWN,AL,5/9/12 18:02,4/19/19 18:29,3,34.401567,-87.3905
