"SITE","DATE","STOP.#","X","Y","EWPW.(#)","OBSERVER","NOTES","start_hour","end_hour","start_year"
"Castle Neck, Ipswich","05/30/2013","1",NA,NA,0,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Castle Neck, Ipswich","05/30/2013","2",NA,NA,0,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Castle Neck, Ipswich","05/30/2013","3",NA,NA,0,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Castle Neck, Ipswich","05/30/2013","4",NA,NA,0,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Castle Neck, Ipswich","05/30/2013","5",NA,NA,0,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Castle Neck, Ipswich","05/30/2013","6",NA,NA,0,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Castle Neck, Ipswich","05/30/2013","x",NA,NA,NA,"Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","1",-69.9642905555556,41.8890144444444,NA,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","10",-70.0313505555555,41.9899077777778,1,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","2",-69.9744702777778,41.9021125,1,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","3",-69.9827269444445,41.9151841666667,0,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","4",-69.9724455555556,41.9329691666667,1,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","5",-69.986935,41.9454836111111,1,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","6",-69.9916397222222,41.9549869444444,0,"Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
