"SITE","DATE","OBSERVER","NOTES","start_hour","end_hour","year"
"Manuel Correlus State Forest","05/26/2013","Marylin Miller & Ronald Zentner","2216-0125.  Clear skies, high wind, low noise interference.  There is discrepency between Marilyn and Ron's direction of each calling bird.  For this I went with Marilyn's Description.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used: This was the case for stops 6, 8 & 10.","22:16","1:25",2013
"CCNS - Marconi Station - Wellfleet","06/15/2013","Chris Buelow","2130-2255.  Clear skies, light wind, low-to-moderate wind. The gate leading to Stop 01, near the Marconi Beach parkinglot, was locked and not surveyed.  Access to Stop 08 was unclear and not surveyed.","21:30","22:55",2013
"CCNS - Provincelands","06/15/2013","Chris Buelow","2305-2355.  Clear skies, calm, low noise.  Stops 6-10 need to be ground-truthed in the daylight and were not surveyed.  Spadefoot Toads were chorusing loudly near the Airport.","23:05","23:55",2013
"Massachusetts Military Reservation","06/19/2013","Stefanie Paventy, Thomas Vohoska & Conner White","2035-2252. Partly cloudy, calm, low noise.  Per usual, when there is a contradictory number of birds reported at a stop, the higest number is used.","20:35","22:52",2013
"Castle Neck, Ipswich","05/30/2013","Jeff Denoncour","2201-2356.  Light wind, clear sky, low noise.  This route was intended to be a continuation of the Plum Island route, but TTOR staff did not follow the prescribed route and instead focused the survey on just Castle hill and Crane Beach.  No whip-poor-wills were observed on this run, but staff did report peripheral sighhtings of whip-poor-will on Castle Neck on May 02, 2013 (points 1 and 5 by Tim O'Riordan) and June 06, 2013 (2 birds at point 5 by Jim Berry).                                                                                                                                                   Jeff Denoncour did report two COMMON NIGHTHAWKS heard during the survey, both at point 3, one calling from the Cedar Point area, the other from the Wigwam Hill area.  More detail to follow.","22:01","23:56",2013
"Orchard Street Area, Byfield","05/20/2013","Lynette Leka","2109-0000: Calm, clear, moderate noise and a fair number of passing cars (0-6 per stop).  This the first running of this route in 2013; the second (June 19, 2013) detected zero whip-poor-wills.","21:09","0:00",2013
"Mast Road, Plymouth (Myles Standish)","06/01/2013","Trevor Lloyd-Evans","0201-0354.  Calm, clear, low noise, very few cars.","2:01","3:54",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
"Western Myles Standish SP","05/28/2013","Trevor Lloyd-Evans","0014-0206.  Calm, clear, quiet.","0:14","2:06",2013
