Point Name,latitude,longitude
Alton-1,45.00523024,-68.71832854
Alton-10,45.11217462,-68.81140676
Alton-2,45.0188381,-68.72446824
Alton-3,45.03300603,-68.72778988
Alton-4,45.04566702,-68.73734222
Alton-5,45.05466672,-68.75250289
Alton-6,45.06647108,-68.76237268
Alton-7,45.07781164,-68.77485291
Alton-8,45.0895265,-68.7860532
Alton-9,45.10107098,-68.79825007
Appleton-1,44.30434467,-69.20962061
Appleton-10,44.30548118,-69.30801783
Appleton-2,44.2943414,-69.22431363
Appleton-3,44.28479457,-69.23939204
Appleton-4,44.28732825,-69.25429213
Appleton-5,44.27569697,-69.26585822
Appleton-6,44.26434893,-69.27521606
Appleton-7,44.27548243,-69.28752331
Appleton-8,44.28386909,-69.30307977
Appleton-9,44.29516199,-69.31524681
Aurora-1,44.83258454,-68.25620374
Aurora-10,44.77684032,-68.37606683
Aurora-11,44.76498447,-68.38606344
Aurora-12,44.75564127,-68.40155096
Aurora-2,44.84417706,-68.26839187
Aurora-3,44.85584786,-68.28035608
Aurora-4,44.8618198,-68.29828064
Aurora-5,44.83636699,-68.35410629
Aurora-6,44.82639427,-68.36403387
Aurora-7,44.81225875,-68.36205196
Aurora-8,44.80321869,-68.37638951
Aurora-9,44.79026607,-68.37833679
Baldwin-1,43.81003247,-70.6784663
Baldwin-10,43.82925166,-70.76416111
Baldwin-2,43.81077403,-70.69774606
Baldwin-3,43.80348351,-70.71326557
Baldwin-4,43.80099342,-70.73211458
Baldwin-5,43.79180948,-70.74691345
Baldwin-6,43.79700916,-70.76477815
Baldwin-7,43.80600453,-70.77577199
Baldwin-8,43.81826153,-70.7738349
Baldwin-9,43.8301773,-70.77763297
Bangor-1,44.83459747,-68.84651145
Bangor-10,44.91542058,-68.8117727
Bangor-2,44.82644437,-68.82950651
Bangor-3,44.82080135,-68.813118
Bangor-4,44.8322567,-68.80507288
Bangor-5,44.84647983,-68.80488572
Bangor-6,44.85867764,-68.8101604
Bangor-7,44.87314183,-68.80880887
Bangor-8,44.88730784,-68.81223164
Bangor-9,44.90141487,-68.81269238
Baxter-1,45.80967606,-68.90433396
Baxter-10,45.9066193,-68.8519258
Baxter-2,45.81429013,-68.89066938
Baxter-3,45.82665431,-68.88790294
Baxter-4,45.83855878,-68.88454387
Baxter-5,45.84907717,-68.87295629
Baxter-6,45.8599289,-68.86261306
Baxter-7,45.87240263,-68.85450349
Baxter-8,45.8842914,-68.8468945
Baxter-9,45.89675001,-68.84167827
Benedicta-1,45.82984997,-68.41732433
Benedicta-10,45.77567727,-68.31548928
Benedicta-11,45.76189219,-68.31316315
Benedicta-12,45.74770647,-68.31008453
Benedicta-2,45.81537496,-68.4169347
Benedicta-3,45.80161517,-68.4120981
Benedicta-4,45.80065062,-68.39288287
Benedicta-5,45.80044873,-68.3721799
Benedicta-6,45.79299278,-68.35540834
Benedicta-7,45.78557032,-68.33862799
Benedicta-8,45.79152467,-68.32866338
Benedicta-9,45.78916589,-68.32094652
Berwick-1,43.27736446,-70.88088322
Berwick-10,43.39064465,-70.9487723
Berwick-2,43.28889379,-70.8904832
Berwick-3,43.30232259,-70.8973474
Berwick-4,43.31572968,-70.90332617
Berwick-5,43.32947256,-70.90804777
Berwick-6,43.34086849,-70.92008757
Berwick-7,43.35358813,-70.92831178
Berwick-8,43.36704821,-70.93265067
Berwick-9,43.37779805,-70.9459906
Bethel-1,44.64422451,-70.95684242
Bethel-10,44.56636157,-70.85937758
Bethel-11,44.55660785,-70.8446375
Bethel-12,44.54563153,-70.83415682
Bethel-2,44.63059221,-70.96171691
Bethel-3,44.61747041,-70.95519966
Bethel-4,44.60537615,-70.9454182
Bethel-5,44.5910523,-70.94652754
Bethel-6,44.5819749,-70.93345164
Bethel-7,44.57344549,-70.91767745
Bethel-8,44.57282302,-70.89782058
Bethel-9,44.57062083,-70.87801402
Biddeford-1,43.47235891,-70.41425155
Biddeford-10,43.384146,-70.48096406
Biddeford-2,43.46096304,-70.4248514
Biddeford-3,43.44896592,-70.43592746
Biddeford-4,43.43854333,-70.43414869
Biddeford-5,43.43014856,-70.44010321
Biddeford-6,43.41641825,-70.4371467
Biddeford-7,43.40697386,-70.45060746
Biddeford-8,43.3931852,-70.45368638
Biddeford-9,43.38341945,-70.46747744
Bowdoin Ctr-1,44.01327619,-69.97029095
Bowdoin Ctr-10,44.13742858,-69.9781227
Bowdoin Ctr-11,44.1516292,-69.97466835
Bowdoin Ctr-12,44.16509329,-69.96887391
Bowdoin Ctr-2,44.02739426,-69.97126996
Bowdoin Ctr-3,44.04174421,-69.97250291
Bowdoin Ctr-4,44.05551569,-69.97820895
Bowdoin Ctr-5,44.06958588,-69.98055105
Bowdoin Ctr-6,44.08306572,-69.98556995
Bowdoin Ctr-7,44.09634121,-69.98816412
Bowdoin Ctr-8,44.11051383,-69.98800037
Bowdoin Ctr-9,44.1242385,-69.98235463
Brooks-1,44.58913555,-69.15566313
Brooks-10,44.47760928,-69.12764031
Brooks-11,44.46772685,-69.11679424
Brooks-12,44.45792059,-69.10997436
Brooks-2,44.57534187,-69.15022299
Brooks-3,44.56141156,-69.14580505
Brooks-4,44.54876878,-69.1410902
Brooks-5,44.53758542,-69.13536126
Brooks-6,44.52783317,-69.12144487
Brooks-7,44.5136175,-69.12185571
Brooks-8,44.49984779,-69.11762566
Brooks-9,44.48588093,-69.11227797
Bucksport-1,44.60426511,-68.79618413
Bucksport-10,44.71561378,-68.82724402
Bucksport-2,44.61816042,-68.79361464
Bucksport-3,44.63189526,-68.78707314
Bucksport-4,44.64143652,-68.77691283
Bucksport-5,44.6535572,-68.78332377
Bucksport-6,44.66495426,-68.79299455
Bucksport-7,44.67675841,-68.80430797
Bucksport-8,44.69003884,-68.81074995
Bucksport-9,44.70171443,-68.8216052
Chesterville-1,44.56090242,-70.03296578
Chesterville-10,44.47156537,-70.11103737
Chesterville-2,44.56066899,-70.04771947
Chesterville-3,44.54729581,-70.055033
Chesterville-4,44.53925358,-70.06697163
Chesterville-5,44.53592807,-70.07979964
Chesterville-6,44.52276292,-70.0877359
Chesterville-7,44.50863603,-70.08696987
Chesterville-8,44.49481602,-70.09178195
Chesterville-9,44.48338705,-70.10162903
Church Hill-1,44.59951875,-69.54307821
Church Hill-10,44.72270766,-69.55447005
Church Hill-11,44.73683865,-69.5513086
