Point,UTM,Easting,Northing,Road,WMA
1,18N,421769.32m,4884620.39m,St. Rt. 180,Perch River
2,18N,420825.05m,4882483.04m,St. Rt. 12,Perch River
3,18N,422421.14m,4882214.34m,Vaadi Rd,Perch River
4,18N,423876.57m,4883565.72m,Vaadi Rd,Perch River
5,18N,423810.07m,4884840.52m,Vaadi Rd,Perch River
6,18N,424971.48m,4885983.58m,Dog Hill Rd,Perch River
7,18N,425954.80m,4887261.04m,Dog Hill Rd,Perch River
8,18N,426996.09m,4888643.63m,Dog Hill Rd,Perch River
9,18N,424300.01m,4881975.44m,Cooke Rd,Perch River
10,18N,419520.69m,4880865.09m,LP Refuge Parking Lot,Perch River
