id,survey_stop_id,species_id,number_heard,created_at,updated_at,heard_minute_1,heard_minute_2,heard_minute_3,heard_minute_4,heard_minute_5,heard_minute_6
44,302,3,\N,2012-06-13 17:34:11,2012-06-13 17:34:11,t,f,f,f,f,f
45,303,3,\N,2012-06-13 17:34:11,2012-06-13 17:34:11,f,f,t,f,f,f
46,325,1,\N,2012-06-13 17:34:13,2012-06-13 17:34:13,t,t,t,t,t,t
47,327,1,\N,2012-06-13 17:34:13,2012-06-13 17:34:13,t,f,t,f,f,f
48,363,3,\N,2012-06-13 17:34:16,2012-06-13 17:34:16,t,t,t,f,t,t
49,363,3,\N,2012-06-13 17:34:16,2012-06-13 17:34:16,t,t,t,t,t,t
50,363,3,\N,2012-06-13 17:34:16,2012-06-13 17:34:16,t,t,t,t,t,t
51,370,3,\N,2012-06-13 17:34:17,2012-06-13 17:34:17,f,t,t,f,t,f
52,417,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,f,t,f,t,t,f
53,387,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,f,f,f,f,t,f
54,398,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,f,f,t,t,f,f
55,409,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,f,f,t,f,f,t
56,400,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,t,t,t,f,f,f
57,400,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,f,f,f,f,f,t
58,420,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,f,f,t,t,f,t
59,390,8,\N,2012-06-13 17:34:20,2012-06-13 17:34:20,t,f,f,f,f,t
60,451,8,\N,2012-06-13 17:34:21,2012-06-13 17:34:21,t,t,t,t,t,t
61,451,8,\N,2012-06-13 17:34:21,2012-06-13 17:34:21,f,f,t,t,t,t
62,452,8,\N,2012-06-13 17:34:21,2012-06-13 17:34:21,f,f,t,f,t,f
63,443,8,\N,2012-06-13 17:34:21,2012-06-13 17:34:21,f,f,f,f,f,t
64,453,8,\N,2012-06-13 17:34:21,2012-06-13 17:34:21,t,f,f,f,f,f
65,457,8,\N,2012-06-13 17:34:22,2012-06-13 17:34:22,f,f,f,f,f,t
66,427,8,\N,2012-06-13 17:34:22,2012-06-13 17:34:22,t,f,f,f,t,t
67,438,8,\N,2012-06-13 17:34:22,2012-06-13 17:34:22,f,f,t,t,t,t
68,458,8,\N,2012-06-13 17:34:22,2012-06-13 17:34:22,f,t,f,t,t,f
69,458,8,\N,2012-06-13 17:34:22,2012-06-13 17:34:22,t,t,t,t,t,t
70,459,8,\N,2012-06-13 17:34:22,2012-06-13 17:34:22,f,f,t,t,t,f
71,440,8,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,f,t,t,t,f,t
72,460,8,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,f,f,t,t,f,f
73,430,8,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,t,f,f,f,t,t
74,462,3,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,t,t,t,f,f,f
75,473,3,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,t,f,t,f,f,f
76,473,3,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,t,t,t,f,f,f
77,483,3,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,f,t,t,f,f,f
78,463,3,\N,2012-06-13 17:34:23,2012-06-13 17:34:23,t,t,t,f,f,f
