Routeid,Stop,Latitude,Longitude
20001,1,-87.604062,34.873317
20002,1,-87.19129,34.638674
20004,1,-87.060881,34.028816
20005,1,-86.493408,34.201668
20006,1,-86.681433,34.503714
20007,1,-86.202904,34.868075
20008,1,-85.711256,34.027819
20009,1,-85.926758,34.30395
20010,1,-85.925825,33.191204
20011,1,-85.751837,33.625723
20012,1,-85.751395,33.607662
20013,1,-86.115378,33.811697
20014,1,-86.604286,33.452076
20015,1,-86.871764,33.681957
20016,1,-87.589087,33.847827
20017,1,-87.004308,33.526195
20019,1,-88.17121,33.476553
20020,1,-88.31728,32.130771
20021,1,-87.835952,32.278239
20022,1,-87.216185,32.443377
20023,1,-87.515853,32.78475
20024,1,-86.275498,32.13124
20025,1,-86.717308,32.658657
20026,1,-86.147042,32.583305
20027,1,-85.553328,32.311768
20028,1,-85.204458,32.885464
20029,1,-85.062644,32.147307
20030,1,-85.588469,31.339062
20031,1,-85.233177,31.020344
20032,1,-85.815527,31.71797
20033,1,-86.257072,31.582255
20034,1,-86.613196,31.44395
20035,1,-86.88571,30.99753
20036,1,-87.20883,31.739783
20037,1,-87.832198,31.096976
20038,1,-87.120728,31.318974
20039,1,-88.314992,31.632635
20040,1,-88.112546,30.254032
20041,1,-87.521111,30.280833
20041,2,-87.533889,30.278056
20041,3,-87.539444,30.277778
20041,4,-87.571389,30.273056
20041,5,-87.586944,30.269444
20041,6,-87.605,30.265556
20041,7,-87.621667,30.260833
20041,8,-87.636667,30.256944
20041,9,-87.637222,30.253056
20041,10,-87.668889,30.254444
20042,1,-87.683347,30.370113
20043,1,-87.100752,33.115604
20044,1,-86.696548,33.590943
20045,1,-87.762145,34.131163
20046,1,-86.477356,34.314238
20047,1,-87.82553,33.138176
20048,1,-88.122928,32.680782
20049,1,-87.76492,32.803999
20050,1,-86.711952,32.327477
20051,1,-85.715918,32.581316
20052,1,-88.385212,31.292744
20053,1,-87.776716,31.709758
20054,1,-86.099272,31.222355
20055,1,-85.650871,31.667603
20056,1,-86.257462,33.457291
20057,1,-87.390717,34.423683
20057,2,-87.393083,34.40775
20057,3,-87.3905,34.401567
20057,4,-87.376633,34.40315
20057,5,-87.36705,34.394817
20057,6,-87.3636,34.382367
20057,7,-87.366183,34.367867
20057,8,-87.368933,34.3558
20057,9,-87.3818,34.344083
20057,10,-87.377117,34.332267
20058,1,-85.565558,34.580485
20059,1,-88.012448,33.280781
20060,1,-87.424001,33.263816
20061,1,-86.449958,33.719963
20062,1,-85.468063,33.928295
20063,1,-87.538107,32.41281
20064,1,-86.1118,32.822414
20065,1,-85.871207,32.434615
20066,1,-87.065032,31.228302
20067,1,-86.261154,31.408887
20068,1,-85.411384,31.031942
20069,1,-88.352353,30.942277
20070,1,-87.8722,30.23826
20070,2,-87.85405,30.23965
20070,3,-87.83767,30.24537
20070,4,-87.8212,30.24211
20070,5,-87.80692,30.25169
20070,6,-87.78758,30.24454
20070,7,-87.77116,30.2479
20070,8,-87.7555,30.25188
20070,9,-87.7546,30.26646
20070,10,-87.75115,30.28106
20071,1,-87.384047,34.795276
20072,1,-86.988761,34.92923
20073,1,-86.067168,34.989513
20102,1,-87.254295,34.60316
20105,1,-86.473333,34.212778
20105,2,-86.472778,34.198611
20105,3,-86.485,34.189722
20105,4,-86.485556,34.159722
20105,5,-86.476111,34.163333
20105,6,-86.473056,34.136111
20105,7,-86.481111,34.1225
20105,8,-86.487778,34.107778
20105,9,-86.488333,34.012222
20105,10,-86.4975,34.098889
20109,1,-85.932518,34.308398
20111,1,-85.746657,33.629635
20140,1,-88.112569,30.25736
20142,1,-87.671667,30.255556
20142,2,-87.598333,30.381667
20142,3,-87.598333,30.396389
20142,4,-87.598056,30.410556
20142,5,-87.598333,30.425833
20142,6,-87.598333,30.443056
