original,corrected,state,notes
6015,60015,AZ,
6051,60051,AZ,
6078,60078,AZ,
6101,60101,AZ,
60001,60001,AZ,
60002,60002,AZ,
60003,60003,AZ,
60004,60004,AZ,
60005,60005,AZ,
60006,60006,AZ,
60007,60007,AZ,
60008,60008,AZ,
60009,60009,AZ,
60010,60010,AZ,
60011,60011,AZ,
60012,60012,AZ,
60013,60013,AZ,
60014,60014,AZ,
60015,60015,AZ,
60016,60016,AZ,
60017,60017,AZ,
60018,60018,AZ,
60019,60019,AZ,
60020,60020,AZ,
60021,60021,AZ,
60022,60022,AZ,
60023,60023,AZ,
60024,60024,AZ,
60025,60025,AZ,
60026,60026,AZ,
60027,60027,AZ,
60028,60028,AZ,
60029,60029,AZ,
60030,60030,AZ,
60031,60031,AZ,
60032,60032,AZ,
60033,60033,AZ,
60050,60050,AZ,
60051,60051,AZ,
60052,60052,AZ,
60053,60053,AZ,
60054,60054,AZ,
60055,60055,AZ,
60056,60056,AZ,
60057,60057,AZ,
60058,60058,AZ,
60059,60059,AZ,
60060,60060,AZ,
60061,60061,AZ,
60063,60063,AZ,
60064,60064,AZ,
60065,60065,AZ,
60066,60066,AZ,
60067,60067,AZ,
60068,60068,AZ,
60069,60069,AZ,
60070,60070,AZ,
60071,60071,AZ,
60072,60072,AZ,
60073,60073,AZ,
60074,60074,AZ,
60076,60076,AZ,
60077,60077,AZ,
60078,60078,AZ,
60079,60079,AZ,
60080,60080,AZ,
60081,60081,AZ,
60082,60082,AZ,
60083,60083,AZ,
60101,60101,AZ,
60103,60103,AZ,
60105,60105,AZ,
60106,60106,AZ,
60107,60107,AZ,
60108,60108,AZ,
60115,60115,AZ,
60116,60116,AZ,
60119,60119,AZ,
60121,60121,AZ,
60122,60122,AZ,
60123,60123,AZ,
60127,60127,AZ,
60133,60133,AZ,
60176,60176,AZ,
60206,60206,AZ,
60529,60529,AZ,
60611,60611,AZ,
60622,60622,AZ,
60900,60900,AZ,
60901,60901,AZ,
60980,60980,AZ,
60988,60988,AZ,
60991,60991,AZ,
60992,60992,AZ,
61512,61512,AZ,
63209,63209,AZ,
64580,64580,AZ,
69002,69002,AZ,
69003,69003,AZ,
69004,69004,AZ,
69005,69005,AZ,
69006,69006,AZ,
69007,69007,AZ,
69028,69028,AZ,
69272,69272,AZ,
69316,69316,AZ,
69332,69332,AZ,
69352,69352,AZ,
69580,69580,AZ,
69607,69607,AZ,
69608,69608,AZ,
69609,69609,AZ,
69610,69610,AZ,
69611,69611,AZ,
69612,69612,AZ,
69613,69613,AZ,
69614,69614,AZ,
69615,69615,AZ,
69616,69616,AZ,
69617,69617,AZ,
69618,69618,AZ,
69619,69619,AZ,
69620,69620,AZ,
69621,69621,AZ,
69622,69622,AZ,
69623,69623,AZ,
69624,69624,AZ,
69625,69625,AZ,
69626,69626,AZ,
69627,69627,AZ,
69628,69628,AZ,
69629,69629,AZ,
69630,69630,AZ,
69631,69631,AZ,
69632,69632,AZ,
69633,69633,AZ,
69634,69634,AZ,
69635,69635,AZ,
69636,69636,AZ,
69637,69637,AZ,
69638,69638,AZ,
69639,69639,AZ,
69640,69640,AZ,
69641,69641,AZ,
69642,69642,AZ,
69643,69643,AZ,
69644,69644,AZ,
69645,69645,AZ,
69646,69646,AZ,
69647,69647,AZ,
69648,69648,AZ,
69649,69649,AZ,
69650,69650,AZ,
69651,69651,AZ,
69652,69652,AZ,
69653,69653,AZ,
69654,69654,AZ,
69655,69655,AZ,
69656,69656,AZ,
69657,69657,AZ,
69658,69658,AZ,
69659,69659,AZ,
69660,69660,AZ,
69661,69661,AZ,
69662,69662,AZ,
69663,69663,AZ,
69664,69664,AZ,
69665,69665,AZ,
14091,140091,CA,
14121,140121,CA,
14122,140122,CA,
14134,140134,CA,
14181,140181,CA,
14409,140409,CA,
14431,140431,CA,
17031,170031,CO,
17032,170032,CO,
17224,170224,CO,
17358,170358,CO,
25912,250912,FL,
25076,250076,FL,
25073,250073,FL,
25308,250038,FL,250308 doesnt exist
36003,360003,IA,"IA, not ID"
33901,330901,ID,
33022,330022,ID,
33016,330016,ID,
33015,330015,ID,
35005,350005,IN,
35037,350037,IN,
39022,390022,KY,
39024,390024,KY,
39027,390027,KY,
39021,390021,KY,
52109,520109,MO,
52009,520009,MO,
53011,530011,MT,
53020,530020,MT,
53038,530038,MT,
63015,630015,NC,
63021,630021,NC,
63212,630212,NC,
63304,630304,NC,
60126,600126,NM,
67054,670054,OK,
69011,690011,OR,
80057,800057,SC,
81905,810905,SD,
82904,820904,TN,
83062,830062,TX,
83074,830074,TX,
83075,830075,TX,
83238,830238,TX,
83360,830360,TX,
85005,850005,UT,
85017,850017,UT,
85305,850305,UT,
85905,850905,UT,
85908,850908,UT,
85912,850912,UT,
88031,880031,VA,
88806,880806,VA,
89004,890004,WA,
89039,890039,WA,
89901,890901,WA,
89930,890930,WA,
92003,920003,WY,
92004,920004,WY,
92011,920011,WY,
92036,920036,WY,
92039,920039,WY,
92058,920058,WY,
92061,920061,WY,
92173,920173,WY,
