route,correct,notes
Balmat,Balmat,
Balmet,Balmat,
Calverton,Calverton,
Calverton ,Calverton,
Catskill,,??
Clintonville Pine Barrens ,Clintonville Pine Barrens,
Connetquot River SP,Connetquot,??
Connetquot River SPP,Connetquot,??
Connetquot River St Park Preserve,Connetquot,??
Copake Falls,Copake Falls,
Cornwall/ New Windsor,Cornwall/ New Windsor,
Crown Point,Crowne Point,
Denning,Denning,
Ellenburg,Ellenburg,
Ellenburg 108,Ellenburg,
Essex 1240,Essex,??
Fishers Island,Fishers Island,
Fort Drum,,??
Fort Drum - route 5,,??
Highland,Highland,
Hillsdale,Hillsdale,
Hopkinton,Hopkinton,
Lewis,Lewis,
Lewis 7838-2,Lewis,
Limerick-Depauville,Limerick-Depauville,
Mamakating,Mamakating,
Mayfield,Mayfield,
Mine Tourne Road/ Rte 9W (South),Mine Tourne Rd/ Rte 9W,
Minnewaska,,??
Napeague,Napeague,
North Wilmurt,North_Wilmurt,
Perch River WMA,,??
Philadelphia,Philadelphia,
Rocky Point,Rocky Point,??
Rocky Point ,Rocky Point,??
Route #22,,??
Three Mile Creek,Three Mile Creek,
Waddington,Waddington,
Warrensburg,Warrensburg,
Warrensburg Route #022,Warrensburg,
Wellelsey Island,Wellesley Island,
Wellesley Island,Wellesley Island,
West Point,,??
Willsboro,,??
